date,value
2014-01-01,16
2014-01-02,8
2014-01-03,43
2014-01-04,21
2014-01-05,52
2014-01-06,47
2014-01-07,25
2014-01-08,33
2014-01-09,42
2014-01-10,55
2014-01-11,61
2014-01-12,61
2014-01-13,59
2014-01-14,40
2014-01-15,61
2014-01-16,75
2014-01-17,72
2014-01-18,71
2014-01-19,67
2014-01-20,69
2014-01-21,54
2014-01-22,47
2014-01-23,68
2014-01-24,52
2014-01-25,33
2014-01-26,55
2014-01-27,72
2014-01-28,96
2014-01-29,87
2014-01-30,95
2014-01-31,82
2014-02-01,70
2014-02-02,49
2014-02-03,22
2014-02-04,9
2014-02-05,13
2014-02-06,42
2014-02-07,56
2014-02-08,63
2014-02-09,72
2014-02-10,52
2014-02-11,49
2014-02-12,5
2014-02-13,1
2014-02-14,9
2014-02-15,63
2014-02-16,82
2014-02-17,55
2014-02-18,77
2014-02-19,67
2014-02-20,52
2014-02-21,64
2014-02-22,93
2014-02-23,93
2014-02-24,87
2014-02-25,55
2014-02-26,33
2014-02-27,37
2014-02-28,48
2014-03-01,49
2014-03-02,55
2014-03-03,65
2014-03-04,55
2014-03-05,33
2014-03-06,53
2014-03-07,55
2014-03-08,42
2014-03-09,45
2014-03-10,49
2014-03-11,49
2014-03-12,79
2014-03-13,71
2014-03-14,55
2014-03-15,63
2014-03-16,69
2014-03-17,61
2014-03-18,16
2014-03-19,21
2014-03-20,24
2014-03-21,29
2014-03-22,33
2014-03-23,39
2014-03-24,42
2014-03-25,42
2014-03-26,42
2014-03-27,43
2014-03-28,61
2014-03-29,55
2014-03-30,42
2014-03-31,48
2014-04-01,40
2014-04-02,35
2014-04-03,27
2014-04-04,28
2014-04-05,37
2014-04-06,41
2014-04-07,39
2014-04-08,30
2014-04-09,41
2014-04-10,47
2014-04-11,42
2014-04-12,45
2014-04-13,51
2014-04-14,46
2014-04-15,42
2014-04-16,25
2014-04-17,29
2014-04-18,27
2014-04-19,39
2014-04-20,42
2014-04-21,39
2014-04-22,37
2014-04-23,33
2014-04-24,37
2014-04-25,44
2014-04-26,10
2014-04-27,23
2014-04-28,30
2014-04-29,31
2014-04-30,52
